N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,"0,7071",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,"0,7071","0,0000",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,"0,6872","0,1677",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S,"0,6646","0,2413","0,0000",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,"0,6431","0,2806","0,0875",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,"0,6233","0,3031","0,1401","0,0000",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,"0,6052","0,3164","0,1743","0,0561",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,"0,5888","0,3244","0,1976","0,0947","0,0000",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,"0,5739","0,3291","0,2141","0,1224","0,0399",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,"0,5601","0,3315","0,2260","0,1429","0,0695","0,0000",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,"0,5475","0,3325","0,2347","0,1586","0,0922","0,0303",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,"0,5359","0,3325","0,2412","0,1707","0,1099","0,0539","0,0000",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,"0,5251","0,3318","0,2460","0,1802","0,1240","0,0727","0,0240",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,"0,5150","0,3306","0,2495","0,1878","0,1353","0,0880","0,0433","0,0000",NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,"0,5056","0,3290","0,2521","0,1939","0,1447","0,1005","0,0593","0,0196",NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,"0,4968","0,3273","0,2540","0,1988","0,1524","0,1109","0,0725","0,0359","0,0000",NaN,NaN,NaN,NaN,NaN,NaN
18,"0,4886","0,3253","0,2553","0,2027","0,1587","0,1197","0,0837","0,0496","0,0163",NaN,NaN,NaN,NaN,NaN,NaN
19,"0,4808","0,3232","0,2561","0,2059","0,1641","0,1271","0,0932","0,0612","0,0303","0,0000",NaN,NaN,NaN,NaN,NaN
20,"0,4734","0,3211","0,2565","0,2085","0,1686","0,1334","0,1013","0,0711","0,0422","0,0140",NaN,NaN,NaN,NaN,NaN
21,"0,4643","0,3185","0,2578","0,2119","0,1736","0,1399","0,1092","0,0804","0,0530","0,0263","0,0000",NaN,NaN,NaN,NaN
22,"0,4590","0,3156","0,2571","0,2131","0,1764","0,1443","0,1150","0,0878","0,0618","0,0368","0,0122",NaN,NaN,NaN,NaN
23,"0,4542","0,3126","0,2563","0,2139","0,1787","0,1480","0,1201","0,0941","0,0696","0,0459","0,0228","0,0000",NaN,NaN,NaN
24,"0,4493","0,3098","0,2554","0,2145","0,1807","0,1512","0,1245","0,0997","0,0764","0,0539","0,0321","0,0107",NaN,NaN,NaN
25,"0,4450","0,3069","0,2543","0,2148","0,1822","0,1539","0,1283","0,1046","0,0823","0,0610","0,0403","0,0200","0,0000",NaN,NaN
26,"0,4407","0,3043","0,2533","0,2151","0,1836","0,1563","0,1316","0,1089","0,0876","0,0672","0,0476","0,0284","0,0094",NaN,NaN
27,"0,4366","0,3018","0,2522","0,2152","0,1848","0,1584","0,1346","0,1128","0,0923","0,0728","0,0540","0,0358","0,0178","0,0000",NaN
28,"0,4328","0,2992","0,2510","0,2151","0,1857","0,1601","0,1372","0,1162","0,0965","0,0778","0,0598","0,0424","0,0253","0,0084",NaN
29,"0,4291","0,2968","0,2499","0,2150","0,1864","0,1616","0,1395","0,1192","0,1002","0,0822","0,0650","0,0483","0,0320","0,0159","0,0000"
30,"0,4254","0,2944","0,2487","0,2148","0,1870","0,1630","0,1415","0,1219","0,1036","0,0862","0,0697","0,0537","0,0381","0,0227","0,0076"
